"Date","Gallons"
"12/02/2023","1444"
"12/03/2023","1300"
"12/04/2023","838"
"12/05/2023","1267"
"12/06/2023","443"
"12/07/2023","1040"
"12/08/2023","2435"
"12/09/2023","1316"
"12/10/2023","1658"
"12/11/2023","689"
"12/12/2023","458"
"12/13/2023","569"
"12/14/2023","645"
"12/15/2023","317"
"12/16/2023","586"
"12/17/2023","359"
"12/18/2023","123"
"12/19/2023","371"
"12/20/2023","92"
"12/21/2023","511"
"12/22/2023","291"
"12/23/2023","626"
"12/24/2023","431"
"12/25/2023","288"
"12/26/2023","398"
"12/27/2023","205"
"12/28/2023","428"
"12/29/2023","206"
"12/30/2023","456"
"12/31/2023","520"
